nombre,código,"Cod. Materia",Semestre,Grupo,,,"Descripcion Evaluacion",Porcentaje,Descripcion,"Nom. Materia",,Nota,"Nota Definitiva"
Alipio,26,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,21,33

Alipio,26,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,14,33

Alipio,26,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,33

Alipio,26,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,33

Alipio,26,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,33

Alipio,26,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,33

